c FILE: v30_d20.dat

p edge 30 87
e 1 2
e 2 3
e 2 10
e 2 25
e 3 4
e 3 24
e 4 5
e 4 8
e 4 15
e 4 16
e 4 18
e 4 24
e 4 29
e 5 6
e 5 13
e 5 18
e 6 7
e 6 10
e 6 11
e 6 16
e 7 8
e 7 20
e 7 24
e 8 9
e 8 13
e 8 14
e 8 15
e 8 20
e 8 24
e 9 10
e 9 19
e 9 21
e 9 24
e 9 26
e 9 30
e 10 11
e 10 12
e 10 20
e 10 21
e 10 25
e 11 12
e 11 14
e 11 15
e 11 18
e 11 19
e 11 29
e 12 13
e 12 17
e 12 29
e 12 30
e 13 14
e 13 19
e 13 29
e 14 15
e 14 16
e 14 25
e 14 26
e 14 29
e 15 16
e 15 21
e 15 24
e 15 26
e 15 28
e 16 17
e 17 18
e 17 25
e 18 19
e 18 27
e 18 29
e 19 20
e 19 27
e 20 21
e 20 22
e 20 26
e 20 27
e 21 22
e 21 25
e 22 23
e 22 24
e 23 24
e 23 26
e 24 25
e 25 26
e 26 27
e 27 28
e 28 29
e 29 30
